CHAPTER / PP 
ONE / KKK
A / NNP 
Bad / NNP 
Start / NNP 
I / PRP 
'm / VBP 
here / RB 
, / , 
in / IN 
Norwich / NNP 
! / . 
Goodbye / UH 
to / IN 
my / PRP$ 
job / NN 
in / IN 
Jack / NNP 
's / POS 
Cafe / NNP 
in / IN 
London / NNP 
for / IN 
six / CD 
days / NNS 
! / . 
I / PRP 
feel / VBP 
very / RB 
, / , 
very / RB 
happy / JJ 
. / . 
I / PRP 
want / VBP 
to / TO 
laugh / VB 
and / CC 
shout / VB 
, / , 
and / CC 
tell / VB 
everyone / NN 
about / IN 
it / PRP 
. / . 
I / PRP 
'm / VBP 
going / VBG 
to / TO 
be / VB 
in / IN 
a / DT 
film / NN 
with / IN 
Fabio / NNP 
Facelli / NNP 
! / . 
Yes / UH 
, / , 
me / PRP 
, / , 
Sophia / NNP 
Reynolds / NNP 
, / , 
with / IN 
Fabio / NNP 
Facelli / NNP 
! / . 
I / PRP 
love / VBP 
Fabio / NNP 
's / POS 
films / NNS 
. / . 
And / CC 
now / RB 
I / PRP 
'm / VBP 
going / VBG 
to / TO 
be / VB 
in / IN 
a / DT 
film / NN 
with / IN 
him / PRP 
! / . 
OK / UH 
, / , 
it / PRP 
is / VBZ 
n't / RB 
just / RB 
Fabio / NNP 
and / CC 
me / PRP 
in / IN 
the / DT 
film / NN 
. / . 
There / EX 
are / VBP 
going / VBG 
to / TO 
be / VB 
lots / NNS 
of / IN 
people / NNS 
. / . 
And / CC 
I / PRP 
'm / VBP 
an / DT 
' / `` 
extra / JJ 
' / '' 
. / . 
I / PRP 
'm / VBP 
not / RB 
going / VBG 
to / TO 
speak / VB 
, / , 
but / CC 
I / PRP 
'm / VBP 
going / VBG 
to / TO 
be / VB 
in / IN 
the / DT 
film / NN 
. / . 
With / IN 
Fabio / NNP 
Facelli / NNP 
! / . 
It / PRP 
's / VBZ 
eight / CD 
o'clock / NN 
. / . 
I / PRP 
must / MD 
be / VB 
at / IN 
Chapelfield / NNP 
Park / NNP 
at / IN 
ten / CD 
o'clock / NN 
. / . 
I / PRP 
have / VBP 
two / CD 
hours / NNS 
. / . 
First / RB 
I / PRP 
can / MD 
take / VB 
my / PRP$ 
bag / NN 
to / IN 
my / PRP$ 
hotel / NN 
. / . 
I / PRP 
start / VBP 
to / TO 
walk / VB 
, / , 
but / CC 
a / DT 
woman / NN 
stops / VBZ 
me / PRP 
. / . 
' / `` 
Excuse / VB 
me / PRP 
. / . 
Can / MD 
you / PRP 
tell / VB 
me / PRP 
how / WRB 
to / TO 
get / VB 
to / IN 
Bank / NNP 
Street / NNP 
? / . 
' / '' 
she / PRP 
asks / VBZ 
. / . 
I / PRP 
smile / VBP 
at / IN 
the / DT 
woman / NN 
. / . 
' / `` 
I / PRP 
do / VBP 
n't / RB 
know / VB 
Norwich / NNP 
, / , 
but / CC 
I / PRP 
've / VBP 
got / VBN 
a / DT 
map / NN 
, / , 
' / '' 
I / PRP 
tell / VBP 
her / PRP 
. / . 
' / `` 
Thank / VBP 
you / PRP 
, / , 
' / '' 
says / VBZ 
the / DT 
woman / NN 
. / . 
The / DT 
map / NN 
is / VBZ 
big / JJ 
and / CC 
it / PRP 
's / VBZ 
a / DT 
windy / JJ 
day / NN 
. / . 
My / PRP$ 
hair / NN 
is / VBZ 
over / IN 
my / PRP$ 
face / NN 
and / CC 
I / PRP 
ca / MD 
n't / RB 
see / VB 
. / . 
I / PRP 
try / VBP 
to / TO 
find / VB 
Bank / NNP 
Street / NNP 
. / . 
But / CC 
the / DT 
wind / NN 
takes / VBZ 
the / DT 
map / NN 
from / IN 
my / PRP$ 
hands / NNS 
. / . 
' / `` 
Oh / UH 
! / . 
' / '' 
I / PRP 
start / VBP 
to / TO 
laugh / VB 
. / . 
The / DT 
woman / NN 
tries / VBZ 
to / TO 
help / VB 
, / , 
but / CC 
the / DT 
wind / NN 
is / VBZ 
taking / VBG 
my / PRP$ 
map / NN 
away / RB 
. / . 
' / `` 
Come / VB 
back / RB 
here / RB 
! / . 
' / '' 
I / PRP 
shout / VBP 
and / CC 
I / PRP 
run / VBP 
down / IN 
the / DT 
street / NN 
after / IN 
the / DT 
map / NN 
. / . 
The / DT 
map / NN 
goes / VBZ 
under / IN 
a / DT 
bus / NN 
. / . 
I / PRP 
wait / VBP 
for / IN 
the / DT 
bus / NN 
to / TO 
stop / VB 
. / . 
Then / RB 
I / PRP 
go / VBP 
and / CC 
get / VBP 
the / DT 
map / NN 
. / . 
I / PRP 
walk / VBP 
back / RB 
up / IN 
the / DT 
street / NN 
, / , 
but / CC 
I / PRP 
ca / MD 
n't / RB 
see / VB 
the / DT 
woman / NN 
. / . 
I / PRP 
look / VBP 
for / IN 
her / PRP$ 
up / RP 
and / CC 
down / RP 
the / DT 
street / NN 
. / . 
' / `` 
That / DT 
's / VBZ 
funny / JJ 
, / , 
' / '' 
I / PRP 
think / VBP 
. / . 
I / PRP 
put / VBD 
the / DT 
map / NN 
back / RB 
in / IN 
my / PRP$ 
bag / NN 
. / . 
Then / RB 
I / PRP 
see / VBP 
that / IN 
something / NN 
's / POS 
wrong / NN 
. / . 
' / `` 
These / DT 
are / VBP 
n't / RB 
my / PRP$ 
things / NNS 
! / . 
' / '' 
I / PRP 
say / VBP 
. / . 
' / `` 
This / DT 
is / VBZ 
n't / RB 
my / PRP$ 
bag / NN 
! / . 
Oh / UH 
no / UH 
, / , 
she / PRP 
's / VBZ 
got / VBN 
my / PRP$ 
bag / NN 
! / . 
' / `` 
I / PRP 
look / VBP 
up / RP 
and / CC 
down / RP 
the / DT 
street / NN 
again / RB 
, / , 
but / CC 
the / DT 
woman / NN 
is / VBZ 
n't / RB 
there / RB 
. / . 
I / PRP 
do / VBP 
n't / RB 
know / VB 
what / WP 
to / TO 
do / VB 
. / . 
Everything / NN 
's / VBZ 
going / VBG 
wrong / JJ 
. / . 
First / RB 
the / DT 
map / NN 
, / , 
now / RB 
my / PRP$ 
bag / NN 
. / . 
Then / RB 
I / PRP 
see / VBP 
something / NN 
- / HYPH 
a / DT 
police / NN 
station / NN 
. / . 
I / PRP 
take / VBP 
the / DT 
woman / NN 
's / POS 
bag / NN 
and / CC 
start / VB 
to / TO 
run / VB 
. / . 
I / PRP 
run / VBP 
to / IN 
the / DT 
police / NN 
station / NN 
, / , 
and / CC 
I / PRP 
go / VBP 
in / IN 
. / . 
' / `` 
My / PRP$ 
bag / NN 
! / . 
' / '' 
I / PRP 
shout / VBP 
at / IN 
a / DT 
policeman / NN 
behind / IN 
the / DT 
desk / NN 
. / . 
' / `` 
She / PRP 
's / VBZ 
got / VBN 
my / PRP$ 
bag / NN 
. / . 
You / PRP 
must / MD 
help / VB 
me / PRP 
. / . 
Please / UH 
! / . 
' / `` 
CHAPTER / NN 
TWO / CD 
Beautiful / JJ 
Eyes / NNS 
The / DT 
policeman / NN 
does / VBZ 
n't / RB 
look / VB 
up / RP 
at / IN 
me / PRP 
. / . 
He / PRP 
's / VBZ 
writing / VBG 
something / NN 
. / . 
' / `` 
Sit / VB 
down / RB 
please / UH 
, / , 
Miss / NNP 
, / , 
' / '' 
he / PRP 
says / VBZ 
. / . 
I / PRP 
do / VBP 
n't / RB 
want / VB 
to / TO 
sit / VB 
down / RP 
. / . 
I / PRP 
want / VBP 
him / PRP 
to / TO 
run / VB 
into / IN 
the / DT 
street / NN 
with / IN 
me / PRP 
. / . 
I / PRP 
want / VBP 
him / PRP 
to / TO 
help / VB 
me / PRP 
. / . 
' / `` 
You / PRP 
do / VBP 
n't / RB 
understand / VB 
! / . 
' / '' 
I / PRP 
say / VBP 
. / . 
' / `` 
That / DT 
bag / NN 
's / VBZ 
got / VBN 
all / PDT 
my / PRP$ 
things / NNS 
in / IN 
it / PRP 
! / . 
' / '' 
The / DT 
policeman / NN 
looks / VBZ 
up / RP 
at / IN 
me / PRP 
. / . 
I / PRP 
see / VBP 
he / PRP 
has / VBZ 
beautiful / JJ 
, / , 
dark / JJ 
eyes / NNS 
. / . 
Not / RB 
like / IN 
Fabio / NNP 
's / POS 
eyes / NNS 
, / , 
of / IN 
course / NN 
. / . 
But / CC 
they / PRP 
are / VBP 
beautiful / JJ 
. / . 
What / WP 
? / . 
Why / WRB 
am / VBP 
I / PRP 
thinking / VBG 
about / IN 
this / DT 
man / NN 
's / POS 
eyes / NNS 
? / . 
That / DT 
woman / NN 
's / VBZ 
got / VBN 
my / PRP$ 
bag / NN 
! / . 
' / `` 
All / PDT 
these / DT 
people / NNS 
are / VBP 
waiting / VBG 
, / , 
Miss / NNP 
, / , 
' / '' 
the / DT 
policeman / NN 
tells / VBZ 
me / PRP 
. / . 
' / `` 
Please / UH 
sit / VB 
down / RP 
. / . 
' / '' 
I / PRP 
look / VBP 
behind / IN 
me / PRP 
. / . 
There / EX 
are / VBP 
three / CD 
or / CC 
four / CD 
people / NNS 
waiting / VBG 
. / . 
They / PRP 
all / DT 
want / VBP 
to / TO 
speak / VB 
to / IN 
the / DT 
policeman / NN 
too / RB 
. / . 
' / `` 
But / CC 
I / PRP 
must / MD 
be / VB 
at / IN 
work / NN 
by / IN 
ten / CD 
o'clock / NN 
! / . 
' / '' 
I / PRP 
try / VBP 
again / RB 
, / , 
but / CC 
the / DT 
policeman / NN 
just / RB 
looks / VBZ 
at / IN 
me / PRP 
. / . 
' / `` 
Please / UH 
, / , 
Miss / NNP 
, / , 
' / '' 
he / PRP 
says / VBZ 
. / . 
' / `` 
I / PRP 
know / VBP 
, / , 
' / '' 
I / PRP 
say / VBP 
. / . 
' / `` 
Sit / VB 
down / RB 
. / . 
' / '' 
I / PRP 
go / VBP 
and / CC 
sit / VBP 
down / RP 
. / . 
And / CC 
I / PRP 
wait / VBP 
. / . 
And / CC 
wait / VB 
. / . 
After / IN 
thirty / CD 
minutes / NNS 
, / , 
the / DT 
policeman / NN 
asks / VBZ 
me / PRP 
to / TO 
go / VB 
over / RB 
. / . 
' / `` 
Sit / VB 
down / RB 
, / , 
please / UH 
, / , 
' / '' 
he / PRP 
tells / VBZ 
me / PRP 
. / . 
I / PRP 
sit / VBP 
. / . 
' / `` 
Name / VB 
? / . 
' / '' 
he / PRP 
asks / VBZ 
. / . 
' / `` 
Sophia / NNP 
Reynolds / NNP 
. / . 
' / '' 
He / PRP 
writes / VBZ 
it / PRP 
down / RP 
. / . 
' / `` 
And / CC 
how / WRB 
can / MD 
we / PRP 
help / VB 
you / PRP 
? / . 
' / '' 
I / PRP 
tell / VBP 
him / PRP 
about / IN 
the / DT 
woman / NN 
and / CC 
our / PRP$ 
bags / NNS 
. / . 
' / `` 
Now / RB 
she / PRP 
's / VBZ 
got / VBN 
my / PRP$ 
bag / NN 
and / CC 
I / PRP 
've / VBP 
got / VBN 
hers / PRP 
! / . 
' / '' 
I / PRP 
say / VBP 
, / , 
and / CC 
I / PRP 
give / VBP 
him / PRP 
the / DT 
woman / NN 
's / POS 
bag / NN 
. / . 
He / PRP 
takes / VBZ 
